Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SmokeTest,,,,2019-04-24 12:13:14,2019-04-24 12:13:31,16.945s,FAILED
,,,,,,,
Test Cases/TestHTTPMethods,,,,2019-04-24 12:13:15,2019-04-24 12:13:19,4.812s,FAILED
"createresponse = sendRequestAndVerify(findTestObject(""RESTAPI/CreateCoupon""))",,,,2019-04-24 12:13:15,2019-04-24 12:13:18,3.280s,PASSED
"updateresponse = sendRequestAndVerify(findTestObject(""RESTAPI/UpdateCoupon""))",,,,2019-04-24 12:13:18,2019-04-24 12:13:19,0.581s,PASSED
"deleteresponse = sendRequestAndVerify(findTestObject(""RESTAPI/DeleteCoupon""))",,,,2019-04-24 12:13:19,2019-04-24 12:13:19,0.602s,FAILED
,,,,,,,
Test Cases/VerifyAddingTwoNumbers,,,,2019-04-24 12:13:19,2019-04-24 12:13:21,1.275s,PASSED
"response = sendRequest(findTestObject(""Calculator/Addition""))",,,,2019-04-24 12:13:20,2019-04-24 12:13:21,0.846s,PASSED
"verifyElementText(response, ""AddResponse.AddResult"", ""11"")",,,,2019-04-24 12:13:21,2019-04-24 12:13:21,0.239s,PASSED
,,,,,,,
Test Cases/VerifyingCapitalCityforaCountryISOCode,,,,2019-04-24 12:13:21,2019-04-24 12:13:24,2.892s,PASSED
"response = sendRequest(findTestObject(""CountryInfoService/SOAP/CapitalCity""))",,,,2019-04-24 12:13:21,2019-04-24 12:13:22,1.219s,PASSED
"response = sendRequestAndVerify(findTestObject(""CountryInfoService/SOAP/CapitalCity""))",,,,2019-04-24 12:13:22,2019-04-24 12:13:24,1.500s,PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", ""Islamabad"")",,,,2019-04-24 12:13:24,2019-04-24 12:13:24,0.024s,PASSED
,,,,,,,
Test Cases/verifyListOFCouponsAPI,,REST API,,2019-04-24 12:13:24,2019-04-24 12:13:25,1.391s,FAILED
"response = sendRequestAndVerify(findTestObject(""RESTAPI/ListCoupons""))",,,,2019-04-24 12:13:24,2019-04-24 12:13:25,1.160s,PASSED
"verifyElementPropertyValue(response, ""data[0].object"", ""coupon"")",,,,2019-04-24 12:13:25,2019-04-24 12:13:25,0.022s,PASSED
"verifyElementPropertyValue(response, ""data[0].name"", ""CouponWith34OFF"")",,,,2019-04-24 12:13:25,2019-04-24 12:13:25,0.030s,FAILED
,,,,,,,
Test Cases/TestHTTPMethods,,,,2019-04-24 12:13:25,2019-04-24 12:13:28,2.526s,FAILED
"createresponse = sendRequestAndVerify(findTestObject(""RESTAPI/CreateCoupon""))",,,,2019-04-24 12:13:25,2019-04-24 12:13:26,0.905s,PASSED
"updateresponse = sendRequestAndVerify(findTestObject(""RESTAPI/UpdateCoupon""))",,,,2019-04-24 12:13:26,2019-04-24 12:13:27,0.632s,PASSED
"deleteresponse = sendRequestAndVerify(findTestObject(""RESTAPI/DeleteCoupon""))",,,,2019-04-24 12:13:27,2019-04-24 12:13:28,0.976s,FAILED
,,,,,,,
Test Cases/VerifyAddingTwoNumbers,,,,2019-04-24 12:13:28,2019-04-24 12:13:28,0.479s,PASSED
"response = sendRequest(findTestObject(""Calculator/Addition""))",,,,2019-04-24 12:13:28,2019-04-24 12:13:28,0.414s,PASSED
"verifyElementText(response, ""AddResponse.AddResult"", ""11"")",,,,2019-04-24 12:13:28,2019-04-24 12:13:28,0.055s,PASSED
,,,,,,,
Test Cases/VerifyingCapitalCityforaCountryISOCode,,,,2019-04-24 12:13:28,2019-04-24 12:13:30,2.153s,PASSED
"response = sendRequest(findTestObject(""CountryInfoService/SOAP/CapitalCity""))",,,,2019-04-24 12:13:28,2019-04-24 12:13:29,0.961s,PASSED
"response = sendRequestAndVerify(findTestObject(""CountryInfoService/SOAP/CapitalCity""))",,,,2019-04-24 12:13:29,2019-04-24 12:13:30,1.144s,PASSED
"verifyElementText(response, ""CapitalCityResponse.CapitalCityResult"", ""Islamabad"")",,,,2019-04-24 12:13:30,2019-04-24 12:13:30,0.036s,PASSED
,,,,,,,
Test Cases/verifyListOFCouponsAPI,,REST API,,2019-04-24 12:13:30,2019-04-24 12:13:31,1.103s,FAILED
"response = sendRequestAndVerify(findTestObject(""RESTAPI/ListCoupons""))",,,,2019-04-24 12:13:30,2019-04-24 12:13:31,1.063s,PASSED
"verifyElementPropertyValue(response, ""data[0].object"", ""coupon"")",,,,2019-04-24 12:13:31,2019-04-24 12:13:31,0.015s,PASSED
"verifyElementPropertyValue(response, ""data[0].name"", ""CouponWith34OFF"")",,,,2019-04-24 12:13:31,2019-04-24 12:13:31,0.015s,FAILED
