Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SmokeTest,,,,2019-04-26 09:39:47,2019-04-26 09:39:57,10.345s,FAILED
,,,,,,,
Test Cases/TestHTTPMethods,,,,2019-04-26 09:39:47,2019-04-26 09:39:53,6.140s,FAILED
"createresponse = sendRequestAndVerify(findTestObject(""RESTAPI/CreateCoupon""))",,,,2019-04-26 09:39:47,2019-04-26 09:39:51,3.608s,PASSED
"updateresponse = sendRequestAndVerify(findTestObject(""RESTAPI/UpdateCoupon""))",,,,2019-04-26 09:39:51,2019-04-26 09:39:52,1.501s,PASSED
"deleteresponse = sendRequestAndVerify(findTestObject(""RESTAPI/DeleteCoupon""))",,,,2019-04-26 09:39:52,2019-04-26 09:39:53,0.608s,FAILED
,,,,,,,
Test Cases/VerifyAddingTwoNumbers,,,,2019-04-26 09:39:53,2019-04-26 09:39:54,1.251s,PASSED
"response = sendRequest(findTestObject(""Calculator/Addition""))",,,,2019-04-26 09:39:53,2019-04-26 09:39:54,0.709s,PASSED
"verifyElementText(response, ""AddResponse.AddResult"", ""11"")",,,,2019-04-26 09:39:54,2019-04-26 09:39:54,0.307s,PASSED
,,,,,,,
Test Cases/VerifyingCapitalCityforaCountryISOCode,,,,2019-04-26 09:39:54,2019-04-26 09:39:57,2.597s,FAILED
"response = sendRequest(findTestObject(""CountryInfoService/SOAP/CapitalCity""))",,,,2019-04-26 09:39:54,2019-04-26 09:39:56,1.134s,PASSED
"response = sendRequestAndVerify(findTestObject(""CountryInfoService/SOAP/CapitalCity""))",,,,2019-04-26 09:39:56,2019-04-26 09:39:57,1.287s,FAILED
